Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
30/11/2016,12.0,34
30/12/2015,35.0,42
30/12/2016,15.0,19
31/01/2016,2.0,18
31/01/2017,30.0,40
31/03/2015,1.0,1
31/03/2016,26.0,45
31/03/2017,22.0,30
31/05/2016,13.0,18
31/05/2017,17.0,25
31/07/2015,47.0,64
31/07/2016,28.0,28
31/07/2017,19.0,21
31/08/2015,22.0,29
31/08/2016,22.0,30
31/08/2017,26.0,29
31/10/2015,14.0,19
31/10/2016,20.0,29
31/12/2015,10.0,16
31/12/2016,11.0,18
